Minisector,NOR,PIA,Fastest
0,252.9754441031111,253.06232700391536,PIA
1,207.61429218097038,206.02886315649647,NOR
2,207.3249503698008,203.22941095236658,NOR
3,259.00914291836443,260.6706580296414,PIA
4,277.44775183507,276.7271363707937,NOR
5,290.38559983026653,290.0213646328889,NOR
6,150.44393916756462,158.78980230754334,PIA
7,183.23248953860661,179.69197748755212,NOR
8,268.7828263281159,269.00741605719804,PIA
9,294.7809791836735,296.29790091277306,PIA
10,305.8752588224762,309.12491347383775,PIA
11,305.6464031871679,309.384139463325,PIA
12,122.44641351984762,111.66451903584101,NOR
13,194.16486090764977,181.94746941507935,NOR
14,269.8443328720936,269.3279384360393,NOR
15,294.3188065858586,297.87456167619047,PIA
16,297.5714278503896,303.0738326183459,PIA
17,184.42010101170834,180.29613070391645,NOR
18,219.04506491710046,213.98004894202688,NOR
19,268.51791276627654,267.5853843593651,NOR
20,149.76030026479003,166.3513309506374,PIA
21,139.14170135116038,141.88464704213308,PIA
22,218.21223920215928,216.10712019758932,NOR
23,232.5178560733686,233.76205277460318,PIA
24,155.36324894526393,154.43975368670124,NOR
25,224.43499904,220.3750016,NOR
