Minisector,ALO,OCO,Fastest
0,268.8880529741497,253.9236153295238,ALO
1,134.90745638722973,128.70495677124265,ALO
2,194.4936299845695,198.97156498766915,OCO
3,244.33248270534799,244.3952342626878,OCO
4,259.69479077528746,253.32439190451296,ALO
5,178.80554473870825,173.48829178412697,ALO
6,147.74691929816797,146.94314776416948,ALO
7,178.83154474065958,180.41783726409358,OCO
8,98.6298882333448,98.37645288403435,ALO
9,74.60279587870582,71.3515995147013,ALO
10,89.91537950316759,93.47124105629517,OCO
11,174.844750974683,183.4281769616931,OCO
12,242.48221240334777,240.33912526233766,ALO
13,266.4530619820408,267.1619455674344,OCO
14,276.59847626779316,268.9028982857143,ALO
15,117.07487753267672,106.39234827610034,ALO
16,145.02427779446342,143.49309051283598,ALO
17,180.49478121142857,183.59075945549208,OCO
18,196.89294009481483,199.66421313497722,OCO
19,218.33466942201431,194.4575782255639,ALO
20,134.24842773705927,132.80693328213334,ALO
21,108.99966608809987,102.13751176592592,ALO
22,93.67173636662358,98.45082079680672,OCO
23,196.27677742010357,199.38648190814814,OCO
24,249.01159464313528,248.29230823931624,ALO
25,263.3812464,,ALO
