Minisector,NOR,VET,Fastest
0,295.2719551589743,302.76145128425827,VET
1,235.635938,240.2282818176661,VET
2,203.6941965608485,196.82873665608466,NOR
3,267.5672840691358,270.6230989399171,VET
4,224.24637388997297,228.91693529462367,VET
5,111.15957795674814,109.73099645548429,NOR
6,175.05242114370316,178.73185904509967,VET
7,255.8567939152709,257.79508944761903,VET
8,284.68501884844125,283.95721778109504,NOR
9,296.33974214060066,297.4431666773333,VET
10,290.2210237805714,301.1355902222222,VET
11,221.47600103236806,236.82987737265745,VET
12,147.51959922906389,145.77727289108546,NOR
13,257.17844394557824,257.6302934366567,VET
14,289.13805941807993,288.1881045389918,NOR
15,295.08437506666667,296.1361112,VET
16,279.77163466666667,283.6721291860455,VET
17,246.72416679111112,245.6253170336508,NOR
18,175.19509054127255,172.48088771580942,NOR
19,182.96009510692025,179.61774923767612,NOR
20,173.04992622105235,176.99456894095238,VET
21,245.01822642118378,242.49237015199944,NOR
22,122.41118231808487,123.01191620696929,VET
23,192.87863784126984,186.62515699596116,NOR
24,281.0955677707854,281.21309550769234,VET
