Minisector,PER,RUS,Fastest
0,304.5251009197848,299.60312413617316,PER
1,238.783278799552,245.47127132395784,RUS
2,126.96122338500594,132.90670942184397,RUS
3,242.3046287664261,240.97113915459528,PER
4,189.87999180268963,191.3416717929796,RUS
5,248.10733536234346,244.48109945516705,PER
6,233.82120216997427,234.26584548949495,RUS
7,257.9067521220838,258.3252460732138,RUS
8,291.26323010077925,284.67109546971426,PER
9,199.3206198723986,203.00226300903483,RUS
10,199.22454689023857,202.04413207069953,RUS
11,272.0243614371848,272.9902339668783,RUS
12,211.29900116813852,216.75180156495375,RUS
13,250.12624828472482,253.21759208067624,RUS
14,290.75981573333337,289.5134363105102,PER
15,307.4681968181521,304.0516932469841,PER
16,309.1143442144108,302.31815140764934,PER
17,212.86931547649968,217.74314195102025,RUS
18,262.25817636200014,255.44716130766736,PER
19,295.11545596275135,292.76558002705315,PER
20,309.82688490522594,306.40563677379714,PER
21,312.2462794648196,310.106531216,PER
22,154.75367087404277,157.61212546880034,RUS
23,229.70396837315022,226.67310896,PER
24,286.9079881576434,280.09245533653336,PER
25,,289.62083413333335,RUS
