Minisector,LEC,PIA,Fastest
0,281.582232125673,281.41193589589466,LEC
1,297.7070296562358,297.1509896133333,LEC
2,301.0219513004329,292.7499294309957,LEC
3,176.24997447521164,176.90728374419444,PIA
4,219.85141729229971,219.746964216237,LEC
5,205.46567162310185,203.919993184012,LEC
6,179.2168239557914,180.51226703915344,PIA
7,205.19863294227795,208.32452136382653,PIA
8,255.12698596513766,258.89326158611584,PIA
9,263.4368385642504,266.7370548051649,PIA
10,167.79613584272604,165.92378365932703,LEC
11,235.48270020576322,236.94653257624026,PIA
12,115.85491724509737,118.06805960680404,PIA
13,224.92831036098,222.4242111853553,LEC
14,277.2640755560055,276.40047239770485,LEC
15,294.51401684855716,289.43691338632965,LEC
16,220.01636934229438,216.9336042682316,LEC
17,182.70494342620492,189.2373920198417,PIA
18,265.53550490016227,268.69969657570687,PIA
19,292.61452514110493,292.75077499649416,PIA
20,302.0717755366224,303.8750259085784,PIA
21,303.6929202090582,303.4606568731597,LEC
22,278.8619416829794,260.5569199219514,LEC
23,114.95177449570349,117.86988046790374,PIA
24,237.08624125486824,238.1804015864643,PIA
