Minisector,PIA,NOR,Fastest
0,289.8327501019806,288.5917139242548,PIA
1,155.0319817153803,159.56040705812595,NOR
2,148.3617020956362,149.1420672945266,NOR
3,229.31218162511465,226.35326873167435,PIA
4,287.14754173598845,286.1168762305845,PIA
5,285.70882322351963,288.2043142247619,NOR
6,136.89435485969713,141.02095259848852,NOR
7,139.00432899523335,134.81427990778843,PIA
8,135.0441831265874,139.13547686861762,NOR
9,193.33152022327207,190.40622807505645,PIA
10,132.11571302381677,127.23683662976566,PIA
11,124.1134249235235,122.96992599954952,PIA
12,162.35346762455026,170.895439020388,NOR
13,267.21387811321995,270.26423179687754,NOR
14,284.4721193288676,291.08514737052155,NOR
15,148.74101841638984,150.77114000580562,NOR
16,201.52012717545807,198.08112787546844,PIA
17,165.80847259436314,179.28734819260566,NOR
18,268.0314582006621,272.0124273042741,NOR
19,297.1025296016768,294.0052231896104,PIA
20,311.00730453490826,309.0788390353904,PIA
21,320.03157904360904,316.94759835580953,PIA
22,324.91883579051853,321.95244946747476,PIA
23,326.8562499809524,324.5787822501709,PIA
24,318.95729125155555,322.8234627864841,NOR
25,316.0,,PIA
