Minisector,HAM,BOT,Fastest
0,287.92828922273634,292.05621791322244,BOT
1,298.0222067169369,302.73642365549955,BOT
2,279.58832053360067,284.01602118084605,BOT
3,107.56607775611444,102.03893255643995,HAM
4,216.58412551616067,217.35689239901237,BOT
5,275.3335707631746,277.5072794949348,BOT
6,219.56829580507954,212.04589058478382,HAM
7,157.20686677280688,155.4704834441492,HAM
8,208.1067172243897,202.19105492801478,HAM
9,214.43887066307298,215.60835854391533,BOT
10,114.27833791970386,111.9660949303407,HAM
11,222.71958758051068,226.43338777386475,BOT
12,115.49075811603831,115.35679218511463,HAM
13,218.36118553515342,219.1421650918821,BOT
14,279.3018054737888,283.43821761976335,BOT
15,225.42868713488252,209.7574831103492,HAM
16,187.34643858561452,181.07067827287074,HAM
17,246.3801738111844,246.39941318518518,BOT
18,205.46849123666667,196.20445575442474,HAM
19,178.57472527201256,170.90401282425702,HAM
20,260.4069565430857,259.42633130020204,HAM
21,286.5358849276112,289.6620357406061,BOT
22,160.2491939273443,169.97961212805774,BOT
23,202.77336997613574,201.24749058909845,HAM
24,271.267127246071,271.5950388910053,BOT
25,,292.6006942222222,BOT
