Minisector,SAI,NOR,Fastest
0,312.5353164600823,331.88386811108234,NOR
1,235.0895706247737,230.72164564636998,SAI
2,132.02538136495357,135.72896518059574,NOR
3,221.84879960401395,223.1899111354197,NOR
4,267.38726957615023,267.30673437334,SAI
5,292.76299749955314,292.4442494449968,SAI
6,306.5544444444444,303.6751584667893,SAI
7,272.0605709893253,267.3965826091903,SAI
8,169.27621780108925,167.0335293191652,SAI
9,243.68251554644203,243.3571467491463,SAI
10,271.538935667934,274.32236087420114,NOR
11,256.50272524173107,260.34802837854875,NOR
12,203.80089739686605,211.5244974158401,NOR
13,125.59257865018508,129.86534776010615,NOR
14,122.77861680437013,124.68172457550989,NOR
15,162.79798472632584,163.04157106008702,NOR
16,125.26344055639986,127.51315639102137,NOR
17,227.06144558288236,236.49794096413285,NOR
18,180.46015301482032,179.35876648226932,SAI
19,162.12030464545433,166.5145534167818,NOR
20,250.42656422149125,249.0515372643136,SAI
21,279.613330187894,277.91465681371164,SAI
22,295.2366666666667,296.94954163816243,NOR
23,303.08919994416283,307.9028580402099,NOR
24,307.1763889777778,313.8044444444444,NOR
25,309.0,,SAI
