Minisector,BEA,COL,Fastest
0,295.9843333594228,287.7789115203475,BEA
1,305.42992192,294.07896817777777,BEA
2,236.37525902786598,232.13860944124033,BEA
3,115.84819315527348,115.1338544872947,BEA
4,136.0048186614478,136.79481324641742,COL
5,257.5411320015903,256.6874453445488,BEA
6,253.18486721810902,248.76722517042407,BEA
7,122.08008441274286,131.05878706069583,COL
8,244.1095262169412,246.26682573921119,COL
9,248.69327389587303,249.6055988839619,COL
10,212.67581526260503,201.3191622393387,BEA
11,149.54461768183893,144.3579660172813,BEA
12,200.28333847930094,201.63826111975737,COL
13,263.3148949442142,250.89991949726678,BEA
14,116.4791545335587,115.79296126432897,BEA
15,180.3503987910101,186.4157414030251,COL
16,260.7028084917513,266.8744583258874,COL
17,309.7841495430606,307.79605950839004,BEA
18,318.72941075,322.2798163037857,COL
19,322.49425546812273,320.80864286545454,BEA
20,326.3391874951111,312.69981871310654,BEA
21,189.37384436308633,178.82428591701512,BEA
22,139.48105274949626,140.17628879126886,COL
23,183.95882745593445,185.77220869113228,COL
24,233.50519741575891,236.4783780690041,COL
25,258.0291658666667,273.9916629333333,COL
