Minisector,PER,GAS,Fastest
0,304.89176052105404,303.11299835804795,PER
1,235.96583472055386,232.576284641077,PER
2,193.92800596801067,190.42502193273654,PER
3,270.5066086645397,267.85621731850784,PER
4,225.95664133333332,218.0860125684642,PER
5,110.28214265288112,109.64495091908799,PER
6,175.41450958445253,165.73236706190863,PER
7,257.6487948830138,254.98983502215998,PER
8,288.58714224695666,283.78047399784765,PER
9,304.95196692008284,298.75062014603174,PER
10,306.9211507219769,301.841833344,PER
11,226.83216056666666,226.59775073275702,PER
12,148.68155428994788,145.92363968532007,PER
13,259.8392234324274,256.1937219669148,PER
14,294.21321423847616,289.4764134023999,PER
15,305.26195659130434,297.689938608607,PER
16,298.02300006400003,287.60464754871794,PER
17,255.94925607619047,245.97912885770026,PER
18,176.48250590661894,166.9606038705981,PER
19,182.19391066142455,180.6218480910569,PER
20,166.76835309569162,173.3792830926793,GAS
21,240.3782795423656,243.83932151564414,GAS
22,121.90803927144067,123.83120682052838,GAS
23,191.64751470382743,190.68629661754386,PER
24,288.18894244102563,280.49403569752707,PER
25,,297.2375008,GAS
