Minisector,NOR,MAG,Fastest
0,276.3124550101325,276.88447689981996,MAG
1,302.33117917090914,303.5005251485002,MAG
2,315.4722112902564,317.6035925688889,MAG
3,321.60854340840336,323.76922613333335,MAG
4,324.11314100512817,327.9306349298492,MAG
5,326.5917658920635,330.0035417866667,MAG
6,208.54504769876894,195.08007950812856,NOR
7,109.38004027250123,106.31305626348475,NOR
8,190.1771516415563,184.40776040615765,NOR
9,264.2926758844919,264.897864605042,MAG
10,290.288138690709,291.40809096252536,MAG
11,176.13006825324263,174.07295955568432,NOR
12,94.69428265705216,93.78764452027112,NOR
13,109.86987092104613,115.71781482199674,MAG
14,222.78254087341992,225.0281379055238,MAG
15,199.647706446753,196.03537738979833,NOR
16,232.1996385518679,231.74703587784128,NOR
17,191.13551153231583,186.16934714912443,NOR
18,242.5053030884726,240.6166207873325,NOR
19,278.44186871,278.2107125222222,NOR
20,252.72576887667526,262.42797324793435,MAG
21,151.76635421688889,149.62063205678223,NOR
22,100.39274798820448,96.44920659345917,NOR
23,126.52178707407336,123.31425204478452,NOR
24,221.02920803628118,222.81013391569024,MAG
25,258.1999957333333,257.5069268931948,NOR
