Minisector,BOT,STR,Fastest
0,286.57396796350207,286.6217694887613,STR
1,297.5678578387825,299.0918190315671,STR
2,301.8479765307815,304.91263366843776,STR
3,297.4889376829348,305.42395824761905,STR
4,185.95233262385486,180.75934898479534,BOT
5,211.44972942311426,210.37634734111066,BOT
6,261.8965232951227,261.78159973103914,BOT
7,256.33726906896396,258.70265637968254,STR
8,181.498935364586,180.01636387337868,BOT
9,146.22633978334886,139.97371895996378,BOT
10,190.95263999849502,178.62746339148052,BOT
11,254.70444573835314,256.5426976809782,STR
12,237.5318345449928,237.80754214139276,STR
13,223.42573750872666,223.6844778043721,STR
14,264.5397956631111,262.70975042258533,BOT
15,167.41271048807448,163.0691018014645,BOT
16,218.08012402402932,218.45041655652173,STR
17,233.4981756022857,238.83564341588115,STR
18,139.91601379097003,129.6575320798328,BOT
19,236.58102277211873,238.2710283256917,STR
20,272.191407056,275.8471490628389,STR
21,235.48627422849881,229.47856390667224,BOT
22,139.90755522347283,134.79205978898213,BOT
23,207.81040879253422,205.70947541182275,BOT
24,265.3894998449373,266.5186528747341,STR
