Minisector,OCO,GAS,Fastest
0,279.86370044725874,279.0190717005437,OCO
1,297.9464976854391,296.0578094994286,OCO
2,295.58869395142494,292.93116175223037,OCO
3,180.57524498512896,172.8131509786836,OCO
4,125.18968731768584,125.33295168543542,GAS
5,239.70779059450837,238.48936820798707,OCO
6,281.04088650957436,280.37546196067586,OCO
7,286.9229962153846,290.1947539949604,GAS
8,184.18392407013394,184.16921900753456,OCO
9,150.53522588240187,146.32007007551942,OCO
10,255.618535245977,255.4180232390258,OCO
11,290.81256199905766,290.44993571000504,OCO
12,298.88100154920636,302.07151254219576,GAS
13,277.2278661135802,285.1001845564329,GAS
14,295.53595015873015,294.41476637874024,OCO
15,295.08237027962724,297.66625615810074,GAS
16,256.7184084595168,261.6370110040816,GAS
17,227.57500317138962,230.3911993067713,GAS
18,276.0802495584775,276.96662387227315,GAS
19,296.6886294685896,294.9800734663607,OCO
20,293.55456809565237,299.38152394494455,GAS
21,236.65099652746753,232.53036400469549,OCO
22,259.6275276736556,261.99663858706884,GAS
23,144.25616557687118,141.38688975877687,OCO
24,223.64078442444256,223.88561522316533,GAS
