Minisector,BOT,NOR,Fastest
0,272.47113383628346,274.91598373243573,NOR
1,289.5086025572501,294.9716666168889,NOR
2,286.65780673867295,290.76472569680635,NOR
3,188.00004671726384,178.9191936856812,BOT
4,126.31801453503714,121.24330416374536,BOT
5,235.3353871788274,238.09913792077262,NOR
6,281.0929320378974,279.8013791052242,BOT
7,293.8378767573548,285.3815707897436,BOT
8,178.26941869057117,178.51364502986937,NOR
9,142.13485302202145,139.82651177466403,BOT
10,249.1919993826871,251.36048236432265,NOR
11,284.7500638192727,286.1133330773333,NOR
12,294.27599991466667,293.90062625288175,BOT
13,279.916849810989,286.85956780246914,NOR
14,295.0950561708967,301.4386256562557,NOR
15,298.97079228603235,304.0998265714286,NOR
16,263.2305111115721,255.27008130427464,BOT
17,226.16044886045074,225.89364619563716,BOT
18,279.7287470181764,280.45169810684695,NOR
19,301.38142373333335,300.9228331946667,BOT
20,307.24019585020216,300.54546942253415,BOT
21,239.40138801777778,230.44778448191184,BOT
22,260.06143120084374,252.0042506437869,BOT
23,136.29288449931354,134.63536506037704,BOT
24,216.11252571937302,211.11138538654632,BOT
25,,256.1749952,NOR
