Minisector,SAI,RIC,Fastest
0,229.1635366421578,231.19609627101815,RIC
1,275.9630004906667,285.11307124419045,RIC
2,288.81529487893386,312.1759126160201,RIC
3,293.9431819082251,325.15327973244695,RIC
4,264.9101764766338,282.7261886945055,RIC
5,162.06999251215282,158.53039215525968,SAI
6,255.15611252483401,254.7695589078667,SAI
7,270.13121690299823,269.2041511768872,SAI
8,212.4943962532213,209.61603952240176,SAI
9,215.30381957174117,218.77347550960891,RIC
10,179.0255325811966,176.32100221201304,SAI
11,220.8711698933155,226.3891720247716,RIC
12,203.68315075409515,201.24215802308868,SAI
13,216.74639062235835,203.98093588119798,SAI
14,222.6770623641207,219.6507071652903,SAI
15,174.74262648888887,174.37646946848605,SAI
16,240.78435893578413,242.1580254968875,RIC
17,276.5955480015238,277.90899163647254,RIC
18,287.52883031718426,283.43493539190257,SAI
19,281.21047476419045,272.09121351727583,SAI
20,129.97738987645675,128.86216711446576,SAI
21,162.90177650817841,155.32115090881916,SAI
22,151.54559111885726,152.0706529491081,RIC
23,201.6265467019567,196.2731651108213,SAI
24,145.82099657797957,145.0659439174158,SAI
25,180.46666666666667,,SAI
