Minisector,RUS,VER,Fastest
0,283.81345132279574,284.2310759225617,VER
1,300.19490638080475,300.2619704861111,VER
2,231.23610829357906,244.60059307840604,VER
3,114.69347532629058,118.0124472185438,VER
4,136.6114889192728,139.71606493662964,VER
5,256.4078679749404,249.3530378085562,RUS
6,259.5676238095238,260.9836740741587,VER
7,124.46863529788385,124.70904992531383,VER
8,249.32808221223888,244.72560665504693,RUS
9,250.51387967717943,265.34206526509314,VER
10,209.97873372447137,215.1481498430622,VER
11,144.3816607106441,144.2151530316076,RUS
12,217.57018269333332,207.461905925819,RUS
13,265.1042380496296,265.663185442098,VER
14,119.62035244760352,118.86229779119378,RUS
15,192.5890682416194,191.82743104353764,RUS
16,263.5430722074074,263.3291948122173,RUS
17,292.890684823716,290.49525666727646,RUS
18,306.99043859649123,304.3080125107484,RUS
19,312.58514829712084,311.6519481350649,RUS
20,316.35552631578946,313.35196917410315,RUS
21,181.17451804674425,204.05669185145206,VER
22,146.82928231041845,134.38337237602966,RUS
23,212.19237151890812,209.14570012459944,RUS
24,239.45438442016507,235.46272767827625,RUS
25,272.2142857142857,269.964288,RUS
