Minisector,HUL,TSU,Fastest
0,312.2021973267034,309.61305880242423,HUL
1,142.1566376529995,137.30806758787847,HUL
2,211.43731666747922,208.76801242843675,HUL
3,273.2370404432029,272.34973959715927,HUL
4,310.4415051435585,309.4250284661818,HUL
5,313.1250596417849,311.9215463054375,HUL
6,148.35009687544465,148.95085506888017,TSU
7,246.30690363527665,241.76750700901587,HUL
8,117.59560338467547,112.3479937976174,HUL
9,142.17710810784538,147.9664741091921,TSU
10,269.80228504729575,270.26716936519347,TSU
11,297.43678025209107,298.77161447333333,TSU
12,257.5030815581794,223.319657428526,HUL
13,149.71894025798218,156.1016270189358,TSU
14,272.4115158944578,273.3427368187879,TSU
15,305.5537425973146,308.2869474070527,TSU
16,321.07286996679875,321.5558795437037,TSU
17,328.1813376156288,328.0408185829201,HUL
18,334.12274639274375,332.9403367750649,HUL
19,332.263383104127,335.8810227393939,TSU
20,217.00994128055677,203.602200261608,HUL
21,157.91690256855335,168.94314863013483,TSU
22,273.0884778689924,276.82406683522635,TSU
23,309.4040476586667,310.97836841714286,TSU
24,322.9810003516356,324.68502009727274,TSU
