Minisector,ALO,STR,Fastest
0,267.4400053472194,273.11824626785017,STR
1,112.12865105437528,111.8508556330629,ALO
2,151.78612290666666,158.01597116300687,STR
3,208.10921234047865,207.24954063641388,ALO
4,155.734159423204,151.30111453856208,ALO
5,239.25245679307017,239.06484886787877,ALO
6,216.8950846565244,205.96368706289107,ALO
7,128.20124112609523,118.78988989851551,ALO
8,230.119109403226,228.47500057076022,ALO
9,274.330456759299,273.87213548696207,ALO
10,273.1736332444445,289.28921693121697,STR
11,149.1363320309936,146.12623005355448,ALO
12,221.02899051959596,220.48241906148147,ALO
13,271.15666037502643,272.46999850978705,STR
14,262.1236992945326,265.2705952,STR
15,101.46560078550054,98.15464994305583,ALO
16,214.07178442519472,212.50441943434345,ALO
17,270.40190500961165,269.6855503749859,ALO
18,290.2565680615681,290.17005664089277,ALO
19,301.3164681656232,301.2609166613653,ALO
20,306.385856029025,306.88204628913127,STR
21,279.5580357142857,293.35580357142857,STR
22,152.03864484466746,146.5491626856309,ALO
23,233.62029999240525,228.26247263427663,ALO
24,274.7913972548987,272.87509419949873,ALO
25,283.80637830613165,283.7875008,ALO
