Minisector,SAI,TSU,Fastest
0,244.17442560688255,246.83975486802723,TSU
1,281.96862771489435,282.278638620828,TSU
2,187.9715302469844,186.9195695780842,SAI
3,148.14296997477507,146.55303276451522,SAI
4,256.26959454195395,257.9155829196148,TSU
5,268.5910256410256,263.0172152380952,SAI
6,211.58019044964217,210.70887614124746,SAI
7,192.91372549019607,184.06231787089948,SAI
8,151.9402651561995,152.18805360653275,TSU
9,203.58822473667388,202.6182632665716,SAI
10,270.98419047619046,273.6690006186667,TSU
11,124.36120273913222,122.17574604784845,SAI
12,198.59331818385505,197.62383791403485,SAI
13,273.6536190476191,270.29952952380955,SAI
14,302.75963203463203,290.8494796,SAI
15,317.9234904726085,298.7301377626895,SAI
16,269.00466666666665,251.99752600493827,SAI
17,128.1810728066813,127.92959218712814,SAI
18,122.47726134974732,124.04244975462635,TSU
19,115.04569202259887,117.47859559567392,TSU
20,222.0274463311828,221.07384775472084,SAI
21,248.55555555555554,250.1165131851852,TSU
22,241.3478046738748,237.74862081213394,SAI
23,216.94354838709677,215.49852156067587,SAI
24,136.91074603212806,135.28368864167052,SAI
25,215.0,213.11428845714283,SAI
