Minisector,ALO,PER,Fastest
0,295.00223221801025,294.81929835789475,ALO
1,222.22636197460318,220.46321794801125,ALO
2,142.6244362385113,143.99266935880155,PER
3,218.86934499047618,222.67114910116405,PER
4,157.8132654507754,158.44300406752487,PER
5,177.86451229425288,169.68627023292933,ALO
6,248.54972594154518,247.49787307597745,ALO
7,272.26228087017546,270.9081251047619,ALO
8,279.6414474105263,279.2763157894737,ALO
9,260.9544096351489,263.41589216761906,PER
10,245.3696431238095,242.49853208872787,ALO
11,239.0276055671334,244.01398707010375,PER
12,206.2934429862018,209.94633297066667,PER
13,138.57698078337472,139.45953008695756,PER
14,143.88518462222223,152.94602527790826,PER
15,176.1849187428652,180.56479712643477,PER
16,253.23809574603175,254.10107805703643,PER
17,239.49331476212976,239.40603114820976,ALO
18,112.1975570095238,117.84329951991259,PER
19,196.40533949015537,195.07666594817476,ALO
20,193.65055226666666,196.35987891539733,PER
21,232.66675033419767,232.08020804087337,ALO
22,261.5400895314286,263.68086333714285,PER
23,277.5921054877193,279.9295392728357,PER
24,289.47496705396173,290.1896930807017,PER
25,292.62916693333335,,ALO
