Minisector,VER,BOR,Fastest
0,271.154147203208,273.063454228872,BOR
1,298.95513742678,296.3483473389356,VER
2,312.141690354215,309.33855545060266,VER
3,318.3925923555555,316.08103830316287,VER
4,323.50305055873014,319.6095555555556,VER
5,324.61701600344094,321.504375,VER
6,208.27594931474286,199.4247691319862,VER
7,108.27507600441879,105.79723102768429,VER
8,187.47241204237207,187.64008112873134,BOR
9,261.23215409938337,257.3778359360512,VER
10,289.5606693742857,289.18706104190477,VER
11,171.557917612693,171.35740549635648,VER
12,96.09234212037258,99.31224268340749,BOR
13,115.49217136607633,117.05438084254146,BOR
14,216.47388996740742,223.34456607022943,BOR
15,191.91513147006594,188.75928850113493,VER
16,226.0677137423378,224.03987177776253,VER
17,182.40749459702522,182.3662347690924,VER
18,236.536113819714,233.4961904761905,VER
19,276.32640674904064,275.45703125,VER
20,252.32349063917835,247.09188091299978,VER
21,148.22691888010883,148.9982485629704,BOR
22,93.64520823801789,93.6452271813627,BOR
23,126.7585236585843,122.35950029078413,VER
24,225.79081291660458,215.85395851594203,VER
25,,254.91354266666667,BOR
