Minisector,OCO,ALB,Fastest
0,251.01984257015872,260.76704837602466,ALB
1,132.9040498714061,135.56710515289137,ALB
2,206.33884833928343,198.46514295636365,OCO
3,247.52053364786326,248.0247958366704,ALB
4,255.76672696829124,256.4910501104762,ALB
5,184.77507156885508,176.24654238014432,OCO
6,145.83740485090888,150.10562878343163,ALB
7,180.21309416114286,184.49304004419048,ALB
8,100.74692484418144,103.01185977509768,ALB
9,70.7547977016698,70.18385548636995,OCO
10,98.80160496247696,97.18153919509027,OCO
11,194.20653734159592,186.91171927945578,OCO
12,246.41703039001985,247.8823892622222,ALB
13,266.8182967180961,270.64076342160905,ALB
14,278.075556260202,276.2784820249316,OCO
15,105.95625358785877,109.78893222472858,ALB
16,167.98782666935574,172.77020708147893,ALB
17,184.1860503178836,184.76394738526315,ALB
18,205.73677588641164,202.6204851129568,OCO
19,213.39428081030815,202.27993642022918,OCO
20,138.32540746484528,140.21195516190477,ALB
21,110.0503228480574,107.43716688120301,OCO
22,101.1084078233997,105.16092836727273,ALB
23,198.40364847946128,207.32219486916222,ALB
24,248.64643632103895,250.12815153333332,ALB
25,263.0,,OCO
