Minisector,OCO,NOR,Fastest
0,267.2840756929972,269.77361126736844,NOR
1,292.2921826816528,297.534843756041,NOR
2,305.9818872313725,311.4927858055977,NOR
3,315.04458540055026,320.9732777268148,NOR
4,320.9770450330734,325.69006949333334,NOR
5,323.5512500148148,328.76534223352405,NOR
6,216.9691166522567,192.69268884334974,OCO
7,102.5013552799817,104.5512660837432,NOR
8,187.20111524733045,188.0181653210766,NOR
9,256.8359749320574,260.6543319153439,NOR
10,286.18938269238095,288.2821189886631,NOR
11,156.76997629180954,152.25982536208255,OCO
12,96.19428503652028,93.35265577031997,OCO
13,111.91427324056393,115.40460004571429,NOR
14,210.67470929554284,208.30637537255427,OCO
15,176.55642920699452,178.70006528161616,NOR
16,220.5308893756614,213.22128977659756,OCO
17,169.18784271526945,173.06722544077508,NOR
18,234.2594589922078,238.80958724828557,NOR
19,273.1361214531602,277.77569866147184,NOR
20,241.89024998809904,218.38058048380236,OCO
21,142.25778233922077,134.92341179861654,OCO
22,94.68532876272367,96.30906841819595,NOR
23,122.03143445744467,120.5180778317589,OCO
24,217.1268198780313,227.02423143749428,NOR
25,250.72000256,,OCO
