Minisector,PER,GRO,Fastest
0,288.6397721974026,283.8154586135642,PER
1,308.49145808,300.56983740641834,PER
2,305.7766456815719,297.91870595192745,PER
3,182.2444287111111,182.46021628698008,GRO
4,220.67785437037037,221.79486169799452,GRO
5,201.61621990861013,199.36251957972348,PER
6,187.40393234747475,192.35744072100658,GRO
7,209.57052090628002,211.21615163428572,GRO
8,257.79267391158004,255.48832677466643,PER
9,258.7723446626966,259.859600973913,GRO
10,171.3071874088466,177.5412400088033,GRO
11,240.82245306666667,239.49759991411935,PER
12,121.34584503175931,117.23543660484445,PER
13,228.81521939625696,227.91014896583513,PER
14,277.60948647808533,273.74548644444445,PER
15,286.45578369658,286.0350423920522,PER
16,201.8357354470046,207.05909622807954,GRO
17,184.42265489524456,182.22064024601946,PER
18,271.4616060444444,266.65903652987015,PER
19,298.77666629333334,291.13107290167017,PER
20,311.1651759094647,303.66221351740234,PER
21,311.1968720909443,302.5238095238095,PER
22,272.07466003993966,264.27320869470554,PER
23,118.36070722273563,114.2767993793648,PER
24,243.37962832592595,238.80789632406348,PER
25,,269.9555555555556,GRO
