Minisector,BOT,GRO,Fastest
0,294.3113880096323,283.8154586135642,BOT
1,313.48004395789474,300.56983740641834,BOT
2,309.9727608231948,297.91870595192745,BOT
3,181.84126799375366,182.46021628698008,GRO
4,225.85193052232702,221.79486169799452,BOT
5,207.61240642180513,199.36251957972348,BOT
6,191.53593713310926,192.62449456416437,GRO
7,216.44678134012648,210.33213763769447,BOT
8,260.1329391432434,254.862819173565,BOT
9,258.12276183347655,260.2769093333333,GRO
10,173.03516568152438,177.5412400088033,GRO
11,243.18401292227267,239.49759991411935,BOT
12,116.96898852534514,117.23543660484445,GRO
13,232.29307392042494,227.91014896583513,BOT
14,280.60284101818183,273.2996380289855,BOT
15,283.3627148066416,285.9425404651408,GRO
16,202.80831247553365,208.7943994356822,GRO
17,185.3456174401494,179.60850791660772,BOT
18,273.8160457606625,265.66570881987576,BOT
19,301.5174804837571,291.13107290167017,BOT
20,314.80630952380955,303.66221351740234,BOT
21,310.97184508190475,302.65,BOT
22,262.7469549938087,270.06487536137223,GRO
23,118.83280271890143,113.66568826825369,BOT
24,248.22396413833212,235.81945187961904,BOT
25,279.0500032,269.33333333333337,BOT
