Minisector,SAI,HAM,Fastest
0,306.1090291120558,300.08032960525435,SAI
1,238.2649723265416,228.93905938285712,SAI
2,124.97754412441913,130.15851961184296,HAM
3,212.89309858209515,218.37009856914287,HAM
4,260.64234403026,260.51397192301386,SAI
5,286.2528661033053,283.64663421911087,SAI
6,299.71031172661066,295.7461344578151,SAI
7,286.5916964392808,272.20883646657586,SAI
8,169.94699469530377,171.0359330478266,HAM
9,234.70470705270003,235.82019453850467,HAM
10,271.6692595437037,270.6173390886827,SAI
11,262.8830445890727,244.13791152975026,SAI
12,205.14093081081484,197.77195259981633,SAI
13,111.5707832507889,119.60031978728443,HAM
14,123.2776818573787,122.82820915095114,SAI
15,159.23696636733075,156.95684481811034,SAI
16,130.4952389563148,125.19248610298294,SAI
17,226.2412501937778,225.0627162945644,SAI
18,175.3302540165661,178.16235006353645,HAM
19,156.23885904653062,154.45837433215635,SAI
20,243.63694375501836,245.89181494233765,HAM
21,273.5044203112522,270.09215442325007,SAI
22,289.4434870420569,286.63158797624646,SAI
23,298.9226588342857,295.2084288533333,SAI
24,303.1158333866667,298.5966146,SAI
25,,299.88194453333335,HAM
