Minisector,LEC,SAI,Fastest
0,293.97300151466675,298.03828059300486,SAI
1,304.5235118899471,315.3808213883752,SAI
2,309.29059748289245,324.4048950601399,SAI
3,308.8810382747942,317.0890256853666,SAI
4,167.06415892978822,159.87688734078267,LEC
5,207.42512944963818,201.15072009661998,LEC
6,234.2601463709091,230.84494898651428,LEC
7,267.2745168002457,266.3127053939763,LEC
8,241.7249480493582,241.58159586399998,LEC
9,156.4638931921181,154.10897472632823,LEC
10,223.506949543416,221.75904358586385,LEC
11,128.02585427345625,127.55494418497707,LEC
12,227.4945454523356,220.88526404963923,LEC
13,183.78119974748344,183.08589570552587,LEC
14,208.540223547046,208.91477198416973,SAI
15,239.96815403797297,233.04297816538352,LEC
16,263.17975762077924,257.02663858978354,LEC
17,289.42433022380953,285.9005543051482,LEC
18,150.3172752415154,166.7756486982434,SAI
19,162.48849662752207,156.20880969546738,LEC
20,139.58258813767114,137.15527817495797,LEC
21,226.78482815306424,222.86122997101447,LEC
22,263.0767046206784,258.7553240600673,LEC
23,247.44620536034634,242.12615945977325,LEC
24,274.87380866528065,269.6013237511441,LEC
25,,283.2861105777778,SAI
