Minisector,ALB,PER,Fastest
0,251.64184773118714,248.27018423807434,ALB
1,281.04874976,280.0900508444444,ALB
2,170.65871551190784,165.41127123566346,ALB
3,169.01328753909024,167.7844040838095,ALB
4,259.37009342466865,260.2394515032205,PER
5,271.02642048484853,263.0539116698413,ALB
6,221.31280880987654,213.8784100874711,ALB
7,206.47068453333333,194.65263961266646,ALB
8,159.710421171451,151.72379799622962,ALB
9,223.33076885567763,222.02654249876542,ALB
10,271.72925449555663,273.5026074340136,PER
11,125.74000136535184,122.55601229441466,ALB
12,219.99223967266315,219.6955243230328,ALB
13,273.93698688765613,272.43353030912374,ALB
14,291.849574770068,292.71805546666667,PER
15,293.15500000000003,299.07395927157575,PER
16,222.64221794426808,216.23452129415892,ALB
17,137.02163782059066,132.24143221281963,ALB
18,141.63583151716816,134.38161225260512,ALB
19,124.44586404265984,121.29296487257487,ALB
20,230.8581732923077,224.2612873425044,ALB
21,258.6223086641822,251.9420288463768,ALB
22,230.81385096202584,226.14326933333334,ALB
23,215.59027299837126,208.4121786402822,ALB
24,147.88361253578114,144.73065225266194,ALB
