Minisector,RUS,ALB,Fastest
0,254.1490893135129,245.41572188950983,RUS
1,123.85994280808956,121.47028533356668,RUS
2,259.98537486961044,264.99990854680135,ALB
3,300.8003448275862,306.85131371664625,ALB
4,298.5258264442182,300.258160501115,ALB
5,307.56386904761905,317.530377056508,ALB
6,310.98718325333334,330.3749098876792,ALB
7,305.8976355959629,330.58692887408324,ALB
8,187.35764065220852,185.5252456394131,RUS
9,190.02957506317208,177.49785378184126,RUS
10,172.54871362372307,172.21493253606852,RUS
11,180.43036378662848,168.8043189485814,RUS
12,255.15516547806445,250.52844717559395,RUS
13,270.0782560262128,240.99923422126318,RUS
14,279.2433405008562,257.88982703386216,RUS
15,260.7737821453324,249.22282488267462,RUS
16,171.7878540622297,165.39802200775947,RUS
17,182.7820624108588,173.87895031344115,RUS
18,236.4075082452381,230.7089342886104,RUS
19,279.3508426992974,278.91423700471285,RUS
20,298.57215906943503,302.33970725687647,ALB
21,304.15404759682536,308.98378829029394,ALB
22,302.20272039478925,307.76479584190474,ALB
23,235.3004336195955,227.5650938523511,RUS
24,109.91285626420984,108.6704243169269,RUS
25,224.2250048,,RUS
