Minisector,NOR,LIN,Fastest
0,302.6634021155556,298.29430525139117,NOR
1,152.30962468520013,147.80362158132345,NOR
2,210.78760839360532,216.7666972521739,LIN
3,287.7075977098039,285.1151402766123,NOR
4,313.65775860888454,318.2293171968298,LIN
5,312.136332105094,318.67460219272726,LIN
6,173.64117682950993,184.44554723102038,LIN
7,121.41758465995508,116.74968935663206,NOR
8,254.7263230425987,255.5092616730688,LIN
9,297.40732849815726,296.478485682224,NOR
10,299.7002403076923,301.7828526230688,LIN
11,139.06296964001413,135.5445993540908,NOR
12,175.47542344410255,171.21434100126984,NOR
13,247.2246959880901,244.82907283446175,NOR
14,186.70258244742777,178.15851620719053,NOR
15,190.9819697355213,187.83140400872847,NOR
16,195.3360549611189,190.6496133168806,NOR
17,233.42989431632046,228.81375748927002,NOR
18,280.036648105804,279.15657645850564,NOR
19,294.2501069005348,297.7033317927273,LIN
20,243.2860055208791,236.83621516949754,NOR
21,202.8964079831165,194.79998257143117,NOR
22,185.15978791211262,184.57019336228572,NOR
23,269.5260640555288,268.48160464421414,NOR
24,299.8767883124579,305.1754969939394,LIN
