Minisector,LEC,NOR,Fastest
0,273.7352496604444,269.5695435110586,LEC
1,233.77126637360936,235.96562524489124,NOR
2,112.79918262492488,109.13558717568652,LEC
3,182.17393750602966,186.43102534562212,NOR
4,182.94314911891985,172.98058832724018,LEC
5,220.41258585236412,219.8537348840635,LEC
6,271.23316393351126,270.03137866303416,LEC
7,289.1383551588304,283.35874686716795,LEC
8,185.70367896288198,156.80883187226385,LEC
9,131.19100507552082,120.44717272752452,LEC
10,138.6696033122238,140.9490974606221,NOR
11,192.71068476952084,212.445787012987,NOR
12,218.29683374933336,179.9943790956838,LEC
13,132.6414378330421,131.28886318836368,LEC
14,145.79413269339352,108.2951967474626,LEC
15,133.6405631419166,192.9143522864078,NOR
16,248.9797670442701,251.28907083597548,NOR
17,145.16907852372813,123.9831890246678,LEC
18,194.1746796137931,191.98669092381294,LEC
19,124.05271354906226,117.5355241942113,LEC
20,132.685920029889,112.81016251962897,LEC
21,121.8072110977344,124.73235406638456,NOR
22,140.33060491910072,197.98786246066575,NOR
23,215.7142592474074,200.18990649156652,LEC
24,236.85373458295695,247.32355536355553,NOR
25,259.58729891516356,,LEC
