Minisector,GAS,RIC,Fastest
0,293.8297287900629,310.9730911078402,RIC
1,302.70198415238093,327.33684557714287,RIC
2,275.66303492931155,289.995809052105,RIC
3,108.69913004236928,110.66917481858022,RIC
4,227.41225355665026,230.7286960551724,RIC
5,275.1014794169445,287.2233594702762,RIC
6,203.98502026066504,230.37638556444443,RIC
7,166.23482967308166,170.02538927863722,RIC
8,208.65077296344086,215.23575915295908,RIC
9,222.412891185889,227.48627199472136,RIC
10,114.83973291245647,121.82280491637408,RIC
11,228.14087337142857,233.52106864890217,RIC
12,117.8817019169116,121.73890695977917,RIC
13,229.74418265640494,223.72725396459802,GAS
14,275.407986,273.6720005546667,GAS
15,217.74834865039082,221.646145272551,RIC
16,197.86078365490198,197.93844306248914,RIC
17,250.06645819529643,252.145444014652,RIC
18,198.88292213830053,206.26518836943396,RIC
19,185.59570325977393,184.3104920718996,GAS
20,266.6035423192479,262.4013040907392,GAS
21,290.1685398091271,288.4802648213541,GAS
22,162.77292574623885,171.27962600224546,RIC
23,215.65119011490017,214.5974877792396,GAS
24,274.9242453933763,271.74730652270836,GAS
25,287.1,285.38472177777777,GAS
