Minisector,RIC,PER,Fastest
0,280.20362291937414,283.473072559213,PER
1,305.6278136843908,308.72537465649964,PER
2,291.2663535256827,285.10265144242425,RIC
3,174.2699952492998,161.2161991667661,RIC
4,117.84723341620666,116.55730332696719,RIC
5,235.03291968426322,240.13875932058804,PER
6,287.9244804132433,294.9390309079365,PER
7,298.14020876405897,298.92979267780726,PER
8,161.893422039981,155.08558480414655,RIC
9,137.78478151027696,133.66180335250962,RIC
10,251.79387984974798,253.470574046027,PER
11,294.28878448197526,293.977391363831,RIC
12,299.63500746122844,296.1000804486645,RIC
13,271.96941751558245,263.60204746000164,RIC
14,299.616625054368,296.27325301639166,RIC
15,302.62381246897684,296.58384937329873,RIC
16,238.76170421001126,229.49092411803002,RIC
17,214.79072338199148,212.4281847594426,RIC
18,282.6037576027546,286.8999356105102,PER
19,315.9147304878081,318.25098568699593,PER
20,324.95535535031837,317.6485586393775,RIC
21,217.01832023479838,197.4507668716019,RIC
22,251.83013744127908,243.4971559486185,RIC
23,134.93237863754675,129.16084414442588,RIC
24,213.31422362558567,214.2428308676823,PER
25,255.70833066666665,,RIC
