Minisector,LEC,LAW,Fastest
0,295.2366656295416,292.5314880850069,LEC
1,301.10728791714286,299.3582954181818,LEC
2,249.02689477579858,236.21486784288405,LEC
3,119.73999249287465,116.94176374169909,LEC
4,131.78139898053948,138.11419688645245,LAW
5,258.4443464977825,257.247262348902,LEC
6,264.5363315950476,252.23140068848485,LEC
7,122.654731103812,128.19368479735695,LAW
8,242.8399878339048,243.92309787760684,LAW
9,248.85413643671495,243.5229328082051,LEC
10,219.17404479739633,200.11679132570234,LEC
11,151.20280044399584,142.09525910383525,LEC
12,198.4101845388546,211.23973670452673,LAW
13,258.24908237883596,252.11084632205515,LEC
14,117.38097797242968,115.75255438468494,LEC
15,182.86611429476073,186.35562579732908,LAW
16,266.9384092688186,264.1950646866818,LEC
17,308.0932340343487,309.14040487314037,LAW
18,318.07791671873014,322.6942159869168,LAW
19,310.66242825777033,320.69802644210523,LAW
20,304.9105555504762,311.14290536141,LAW
21,175.0379698758322,144.89739226412698,LEC
22,137.65695219638476,162.93251871095953,LAW
23,193.06037168285715,181.05884629237624,LEC
24,246.62666467852767,253.01731218632037,LAW
