Minisector,HAD,SAI,Fastest
0,276.3257936507936,273.71718495731096,HAD
1,118.09218004218005,117.47268617821754,HAD
2,157.60149572649573,159.12643915299103,SAI
3,203.7730303030303,202.01090317374522,HAD
4,166.2355,153.98010749392776,HAD
5,239.28645181978516,235.7545554943281,HAD
6,205.1676524099777,203.2488267018315,HAD
7,134.02660430839003,135.11620488355217,SAI
8,239.50073353091352,243.5511278195489,SAI
9,283.18515625,283.3371578526594,SAI
10,278.949452508276,279.045866646813,SAI
11,151.273419131145,150.57596898363397,HAD
12,225.98000000000002,227.70326520763564,SAI
13,276.39070751630004,276.82746639325586,SAI
14,250.07198879551822,240.80049920518496,HAD
15,103.47280922466236,102.32112810426065,HAD
16,232.20677295407944,233.3430684588376,SAI
17,290.46345512777776,290.73154761904766,SAI
18,313.746918767507,310.2525740547325,HAD
19,320.07261904761907,308.2653206168831,HAD
20,313.5020685009705,302.2761650114591,HAD
21,285.48058783321943,258.118989276039,HAD
22,159.86909729061657,153.9966825283419,HAD
23,241.74427539289857,246.98456012803567,SAI
24,282.218492063492,277.6783683645345,HAD
25,286.0,,HAD
