Minisector,VET,LEC,Fastest
0,298.0252604666667,291.9543391955506,VET
1,307.9524234122449,300.94088373333335,VET
2,172.496415550193,159.22985888,VET
3,231.00312512,224.30776789730464,VET
4,280.42923379237095,274.8195322,VET
5,298.55559032165684,295.3427088,VET
6,304.34000000000003,304.5303637405501,LEC
7,179.6441971047619,168.66838524006567,VET
8,133.84202368,130.65381196690836,VET
9,254.215942523465,249.82023968721805,VET
10,286.484375,284.68307346666666,VET
11,299.44973953333334,299.02138830222225,VET
12,154.04209280540087,145.9409286140056,VET
13,196.84373643395446,195.43750266666666,VET
14,264.80812266078175,261.18819537777773,VET
15,203.63405787826088,185.7186793532658,VET
16,226.58486782643362,221.75961507809524,VET
17,219.86746031746029,207.75939973095393,VET
18,250.71947786232494,242.90104298666665,VET
19,280.680638634822,276.13345632941173,VET
20,296.6306372392157,293.8987711513139,VET
21,262.20485501632356,248.49235863703703,VET
22,230.07395882666665,217.35051816499006,VET
23,206.93465856969698,205.75199457391307,VET
24,267.2186273882353,267.83875574594794,LEC
25,286.7,,VET
