Minisector,PER,VET,Fastest
0,295.0919094648039,301.93532477069596,VET
1,163.7844296701039,162.64772926635428,PER
2,156.09602221598618,152.69626717777777,PER
3,223.31194418154442,225.10593225365125,VET
4,285.800550466905,286.53728647314284,VET
5,293.49253662710623,289.1743093601768,PER
6,149.68121523781906,146.57018014497754,PER
7,142.89747687978632,139.45327877941898,PER
8,146.33749920106442,148.83096285035762,VET
9,181.6861572522067,179.41005596740825,PER
10,131.62142551025863,134.12554668819854,VET
11,131.02957066148863,126.36708944008181,PER
12,166.83584693810937,165.31977112530856,PER
13,268.34547704397744,268.0168802884354,PER
14,290.2733466675111,286.79311161885676,PER
15,153.68074733974873,152.770804424711,PER
16,214.87273410455987,211.38834790409575,PER
17,164.70468574833328,169.6042019005657,VET
18,268.0762108124137,271.08037342020714,VET
19,291.4435898666667,295.682292048214,VET
20,305.43113247593055,309.58658797100946,VET
21,313.3581349079365,317.18460141449276,VET
22,315.9961956637681,319.96847722539684,VET
23,316.63888893333336,321.87160586750974,VET
24,313.601948000303,319.6832298136646,VET
25,309.0,,PER
