Minisector,SAI,HUL,Fastest
0,277.183489510559,277.7659712888889,HUL
1,295.1037824487597,297.4413417993586,HUL
2,222.04818846733772,225.92428443218392,HUL
3,125.76723432366411,125.97348679756229,HUL
4,183.53424436397214,184.79255221329777,HUL
5,120.39374231135554,120.76017936728347,HUL
6,213.777415241014,206.7605057835686,SAI
7,258.31267383492064,257.25462463223283,SAI
8,177.59726041155255,177.3083761615331,SAI
9,185.71776882462513,179.42388204004203,SAI
10,265.4008805763975,264.5364123362319,SAI
11,189.70402354825703,195.4227939234598,HUL
12,165.75132405679958,158.73333746803252,SAI
13,256.1075003733333,258.4214159742194,HUL
14,272.68115982608697,276.5077118873706,HUL
15,285.2994080128269,289.74273167251783,HUL
16,201.84758240990354,203.95675395714287,HUL
17,192.7553591856167,185.15064406324578,SAI
18,244.1330144,241.00617102222222,SAI
19,283.8580551354854,285.4825444051481,HUL
20,294.2785980589203,296.6849205696145,HUL
21,203.32323554571016,211.22381681751682,HUL
22,148.18974377143797,142.50322236715186,SAI
23,158.61228456223205,154.7071561285854,SAI
24,226.93716476798934,224.92958854792758,SAI
25,,262.809127189409,HUL
