Minisector,VET,SAI,Fastest
0,300.27546135064307,294.41036852002986,VET
1,254.6740376773371,246.90254281180702,VET
2,213.63091372389846,205.09072199389416,VET
3,272.72938304415584,270.06345752492876,VET
4,246.77219064184294,229.00618999787312,VET
5,121.91853941452459,118.35674319897734,VET
6,188.0128911307518,183.9641494743411,VET
7,260.74422640473205,260.89911848691673,SAI
8,288.6461974167947,289.25770083424646,SAI
9,301.7918799689683,301.22227658190184,VET
10,307.16111126349205,302.0847358955798,VET
11,228.41441996238547,209.526783166594,VET
12,146.20650805309447,151.78101641986876,SAI
13,261.17363725839317,262.13518699459104,SAI
14,291.9725430603268,290.75172334445364,VET
15,302.4985352405078,299.38166666666666,VET
16,299.31414397097507,297.3820279686029,VET
17,278.1530876128968,258.791905599294,VET
18,199.10078491287283,195.61315891963537,VET
19,195.69187496983275,179.07038798767974,VET
20,195.44503465582292,200.12982082746046,SAI
21,255.39236841390945,249.0908978277167,VET
22,131.83440747148066,125.3881093903303,VET
23,204.3513313700896,216.04273704969592,SAI
24,280.79298508351513,278.44847589649754,VET
