Minisector,VER,LEC,Fastest
0,288.0891044990476,292.17643759741173,LEC
1,298.2032904719577,304.6248637714286,LEC
2,302.35254627555554,312.6420571168337,LEC
3,298.66561967411195,313.7673808457143,LEC
4,207.09061626258205,196.99740750038995,VER
5,225.27703715534602,221.89430249787546,VER
6,267.7148678735238,268.59850179232325,LEC
7,274.49785137870134,262.53324543702786,VER
8,205.4841099372567,196.47134916659004,VER
9,149.6722356831273,141.6427766423574,VER
10,186.86607136547713,179.57822733664923,VER
11,264.4196575289358,261.928453430303,VER
12,254.13900713904764,245.66397227127416,VER
13,236.07519390014428,237.05257793722566,LEC
14,273.58916737414245,273.7669622277633,LEC
15,173.69565972297428,164.8497372552939,VER
16,226.86888929885492,225.09814273241025,VER
17,241.88268915878788,232.77893381516296,VER
18,136.65103681480883,134.65365123544208,VER
19,243.4455159429777,247.54269224824242,LEC
20,284.874821932309,285.08333730844447,LEC
21,250.83191977553565,229.52897689142856,VER
22,145.7662650961308,143.1954772965168,VER
23,213.87824736240603,220.05135573333334,LEC
24,269.269555359623,271.52872523937094,LEC
