Minisector,NOR,PER,Fastest
0,321.76982399337476,322.7477225672878,PER
1,329.0450757575758,328.7799242666667,NOR
2,322.90634059130434,324.27536231884056,PER
3,187.1632206075188,204.48422367029502,PER
4,120.30816175625503,118.82169515816044,NOR
5,265.18589810512447,265.51730769230767,PER
6,300.7266865079365,301.25701256871133,PER
7,309.9640624888889,312.4115942028985,PER
8,275.35833333333335,278.68605769230766,PER
9,144.40341385994196,144.68720600806432,PER
10,219.9011581766121,229.19291781975167,PER
11,216.92765151515152,210.36757703081233,NOR
12,200.29494914097754,199.93836668536414,NOR
13,270.1226631393298,266.3695274407487,NOR
14,305.53200756746975,305.1094178055541,NOR
15,314.3101449275362,315.4559782956522,PER
16,264.314258344979,273.11995131503073,PER
17,208.92023809523812,198.0988095695238,NOR
18,274.33126237143557,266.8427619556094,NOR
19,306.99528985507243,305.02249996800003,NOR
20,320.06439393939394,316.33179738325697,NOR
21,305.663307756548,309.10471014492754,PER
22,210.84791670588237,208.79858783589575,NOR
23,265.47324109050794,259.79338624338624,NOR
24,303.69233326933335,302.350166656,NOR
25,,316.18750079999995,PER
