Minisector,GAS,KVY,Fastest
0,316.2754774,328.3282150059422,KVY
1,319.0162526144927,344.2277775746032,KVY
2,312.6970645212121,344.8061508571428,KVY
3,202.94859422253737,186.9229768077178,GAS
4,125.56308713469704,124.1094062037441,GAS
5,264.90385750123454,266.60227754072105,KVY
6,295.48208563352796,300.8125734121306,KVY
7,301.82638888888886,308.2894096888889,KVY
8,272.35181667179717,262.2326564734694,GAS
9,151.62257900642666,147.0246759861687,GAS
10,225.60143267619048,216.2390161131313,GAS
11,222.79787962534925,215.57984739844972,GAS
12,203.11955362285713,198.90347238518518,GAS
13,268.1103830857143,271.6439963547328,KVY
14,299.03886386031746,304.45756307246376,KVY
15,307.64692030144926,311.5657071708372,KVY
16,263.34347481904763,256.53222014285717,GAS
17,214.26050455919193,205.17926954986143,GAS
18,272.7187952996337,274.68797994432236,KVY
19,301.7524998217143,307.84972176888886,KVY
20,307.36990406321655,316.8965580057971,KVY
21,297.4711809269841,288.05877299631027,GAS
22,219.46190107689992,207.12576994061624,GAS
23,265.5975304296296,267.2240046539342,KVY
24,299.43076287199267,302.9374498031746,KVY
