Minisector,GAS,KVY,Fastest
0,281.5261190722689,277.0031393643276,GAS
1,122.373888161434,126.67605755577216,KVY
2,159.74529465477474,156.30407976644975,GAS
3,208.11331198429508,208.80881700501405,KVY
4,158.3859216190444,162.70220974126255,KVY
5,240.8568425237423,239.79809474501772,GAS
6,210.62973410909092,207.8247280644962,GAS
7,134.70764560217486,132.91205199742166,GAS
8,230.74312565333335,228.23916565333334,GAS
9,274.2373404116364,271.1032020084146,GAS
10,284.64926437647057,283.1644960268908,GAS
11,144.55513297839016,147.33294848708616,KVY
12,214.3083881004329,216.58823024761904,KVY
13,268.30374715518207,265.312794829305,GAS
14,266.4443288296296,265.6868071111111,GAS
15,98.66388999663333,101.56330924410562,KVY
16,219.78541760725625,216.5619048634921,GAS
17,269.6346725175271,265.172811897709,GAS
18,290.03286539039067,286.03308803585435,GAS
19,299.9408334222222,296.01166656,GAS
20,304.32055566222226,300.3596914545192,GAS
21,283.07715275879633,284.26692633333334,KVY
22,154.99495920505058,158.24065217188763,KVY
23,234.2809222736842,231.09812442666666,GAS
24,274.36898204444446,270.0167366722689,GAS
25,,280.11458346666666,KVY
