Minisector,SAI,STR,Fastest
0,287.46058440839914,306.99765383822313,STR
1,294.4155796869565,323.4341270857143,STR
2,285.3356641466818,290.8057979494824,STR
3,111.58179987398987,110.05721310657005,SAI
4,223.73694432,223.1573588141892,SAI
5,272.7726585828571,272.6856664746667,SAI
6,217.63083948095237,211.132242742357,SAI
7,162.1482395554825,160.728358132817,SAI
8,212.64086049032258,207.05455851989018,SAI
9,223.08865183034325,219.33255077596672,SAI
10,120.33502567756348,119.52701887526467,SAI
11,234.16376083841374,226.58335984899148,SAI
12,126.92466182179304,123.03703470118174,SAI
13,224.23490956069838,226.4336109511111,STR
14,278.82999987200003,275.39577123060707,SAI
15,220.3974635469248,213.10497063698935,SAI
16,191.42376778031257,191.7716971388046,STR
17,250.49183870658143,246.42127083185727,SAI
18,199.666053441136,197.313468334866,SAI
19,177.308756399988,184.0854771863202,STR
20,261.88922595265524,263.7454632997492,STR
21,286.82836445548656,279.45709114037265,SAI
22,178.85546418000462,176.28373020555742,SAI
23,215.18735115238096,215.4676703796835,STR
24,270.4409511450148,267.7317285870859,SAI
