Minisector,VER,GAS,Fastest
0,273.5441670139669,268.42409205813465,VER
1,232.82587194633876,249.1041565732531,GAS
2,110.8327755369948,108.59874045616219,VER
3,177.07517472150468,176.4131361035211,VER
4,177.29308543804515,164.3826246293563,VER
5,212.64578952727274,207.23016592342077,VER
6,269.6316955689165,265.5573084886128,VER
7,288.6693696430252,285.21,VER
8,182.82124300999408,173.4083968547277,VER
9,121.62974053574548,126.35010962862142,GAS
10,134.01952636657293,130.16929667487506,VER
11,176.99264680749616,184.5145634120635,GAS
12,216.9675653991619,216.068434961134,VER
13,129.01467787527318,127.42228817192465,VER
14,151.03507759527025,147.7514905025641,VER
15,115.25631901525416,108.9145174393193,VER
16,249.89175697011783,249.20706967373323,VER
17,135.2499381635112,144.33480467933555,GAS
18,187.52355899555764,192.23669738684833,GAS
19,121.38693069583344,121.43712920682786,GAS
20,127.15046428032898,127.47589078615452,GAS
21,118.55111449889976,116.14672894468143,VER
22,137.14043590700885,136.21336878680773,VER
23,214.44393235713866,210.7912111187341,VER
24,231.01261649452147,225.4631594279311,VER
25,,255.01507440721224,GAS
