Minisector,BOT,VET,Fastest
0,236.01115263232202,248.110305069899,VET
1,122.11076621133786,119.78940311452826,BOT
2,198.45838817629956,201.9079199703704,VET
3,241.61285790476188,247.76632205071414,VET
4,248.2024896828327,248.00692417641025,BOT
5,166.8268198628367,165.57521472625152,BOT
6,141.1463388899908,132.50744724087738,BOT
7,181.42760551055412,172.50005711030303,BOT
8,106.23940482161039,96.37475093942906,BOT
9,73.2555818251275,70.2175348235689,BOT
10,93.83162799576719,99.98445736574917,VET
11,187.9940920140351,197.10786800992784,VET
12,244.31268458535556,250.59175154861376,VET
13,267.7498266888889,272.6099681626831,VET
14,267.39216530125873,256.986952853968,BOT
15,105.89580912138528,103.33334045654314,BOT
16,154.46267415718427,165.5379147897915,VET
17,177.46268050927318,173.04158364787006,BOT
18,192.87534803260073,197.6820985592676,VET
19,203.48028670765237,191.4473427611696,BOT
20,130.40015869943824,131.73333863424097,VET
21,114.17657802708102,94.87037409367186,BOT
22,97.29032986,103.96380323883119,VET
23,195.67329094454357,208.8034157165083,VET
24,249.5242881022977,257.26620540579154,VET
