Minisector,RIC,RAI,Fastest
0,277.98586949565214,279.73106109090907,RAI
1,293.11777237602496,293.6716669409524,RAI
2,239.69733307733333,241.22060748203486,RAI
3,119.85583988216939,117.0462905127933,RIC
4,135.3861672714205,133.09828580854273,RIC
5,248.98866608253968,251.740356531677,RAI
6,257.5112235836876,263.5928738443832,RAI
7,129.93877080852798,127.38064022563965,RIC
8,247.20398608695652,249.05916267111377,RAI
9,265.891856,258.08343642567286,RIC
10,222.43128845573622,211.2895001496018,RIC
11,145.49212629118784,141.77678531472867,RIC
12,209.9557286071326,209.88201736054424,RIC
13,263.6761620208617,266.2303261616075,RAI
14,124.81225963034295,119.29349158257484,RIC
15,190.28362001051087,191.726787027957,RAI
16,254.84274670422045,261.4418226255287,RAI
17,285.4889928048344,292.77283868872183,RAI
18,296.1120615298246,307.59727469874684,RAI
19,300.22785094736844,314.46958632326505,RAI
20,303.6997917333333,316.0842105263158,RAI
21,189.3967130120062,156.09778866266666,RIC
22,137.3658699114048,154.02571135379225,RAI
23,209.23009339373147,200.82026965332167,RIC
24,235.66344106971428,242.6201750267201,RAI
25,264.35,,RIC
