Minisector,OCO,BOR,Fastest
0,271.9698804194486,273.063454228872,BOR
1,299.33331955635157,296.3483473389356,OCO
2,312.23575794832954,309.33855545060266,OCO
3,318.6516607552448,316.08103830316287,OCO
4,321.5081844952381,319.6095555555556,OCO
5,323.5110116525821,321.504375,OCO
6,199.48362736441103,208.9484290406163,BOR
7,103.83168437478547,105.93139140948496,BOR
8,189.5281592351117,187.64008112873134,OCO
9,264.85437364248526,257.3778359360512,OCO
10,292.2366610004329,289.18706104190477,OCO
11,156.33256998511686,171.35740549635648,BOR
12,93.6615931709774,98.94741111790535,BOR
13,112.258636314219,112.83910855645279,BOR
14,213.55485172521583,221.06096915475408,BOR
15,187.86839814232803,187.90387652040937,BOR
16,225.88632131492767,223.50177653966733,OCO
17,179.64164007280422,182.5533976448267,BOR
18,241.36577618901566,229.00708616780042,OCO
19,280.70287586192006,274.5816176470588,OCO
20,249.75080591073765,256.6274650347331,BOR
21,145.20565320630723,150.80076602963706,BOR
22,95.7005360736277,94.79904448412171,OCO
23,121.82133065509535,120.19726418775036,OCO
24,224.71657453608083,212.31364183466667,OCO
25,,254.91354266666667,BOR
