Minisector,HAM,BOT,Fastest
0,285.8466508243266,284.78601239520214,HAM
1,253.89136411225485,258.74786816609424,BOT
2,269.81100076286384,275.2531876560854,BOT
3,278.7740648235433,278.62209074868383,HAM
4,138.1995312408636,132.85593958698712,HAM
5,211.9516835856176,214.56185197501904,BOT
6,266.56611062332314,267.8986096925575,BOT
7,285.276731490437,288.93069704555825,BOT
8,294.3536457111111,297.2836237821986,BOT
9,299.2263020666667,300.99509020061737,BOT
10,287.0921545512954,272.79687357526717,HAM
11,105.99688812471163,100.3735376393936,HAM
12,223.45570279458127,227.64825491168764,BOT
13,272.67527623609317,275.102853689357,BOT
14,278.62773530817714,269.2160099368421,HAM
15,140.6801993035163,136.57455308407998,HAM
16,213.6488580192689,220.34641136102928,BOT
17,260.5740571079148,264.95469975700286,BOT
18,265.40900009170963,258.06749493643326,HAM
19,250.58337464665806,251.47504441282734,BOT
20,158.02206531160647,151.425888481216,HAM
21,196.79618052377023,199.7368813428541,BOT
22,183.69722418347752,184.71209680049427,BOT
23,196.65033716629858,204.77929719904571,BOT
24,255.0273729693259,260.11892571475215,BOT
25,274.31840806158266,,HAM
