Minisector,PER,ALB,Fastest
0,322.5801625997114,321.6347626181901,PER
1,332.0064993443495,331.50020820444445,PER
2,326.7301013788272,334.8788888335802,ALB
3,200.0737225139065,189.60595328189459,PER
4,132.21234073399518,121.65487598558948,PER
5,268.0280887730403,263.14706336620714,PER
6,301.4834830095238,299.25399058770563,PER
7,315.583749952,314.86378398836365,PER
8,273.79656139876647,280.8659176299724,ALB
9,148.2681133777513,140.59808595310741,PER
10,218.83712659224148,222.17690179810108,ALB
11,227.0396635909091,218.45055083008347,PER
12,201.3558868904762,195.64289832953213,PER
13,272.639667456,266.58658086969507,PER
14,308.0865196065055,303.2058078039827,PER
15,320.2083053585965,322.0844458005249,ALB
16,274.46237236363635,270.58355804327294,PER
17,211.6585470987755,208.73764935417304,PER
18,278.047288447205,278.6309577892063,ALB
19,311.20459590588234,309.160096722853,PER
20,321.20798697142857,324.542677336857,ALB
21,301.44490084184713,299.7499958345578,PER
22,209.71458425142856,200.39451139836032,PER
23,265.3659857072143,265.6293253669841,ALB
24,304.4198220251429,303.2156295751913,PER
25,315.40714422857144,,PER
