Minisector,NOR,OCO,Fastest
0,302.7773359030303,306.36182301793247,OCO
1,230.78187451481824,212.5000987340413,NOR
2,135.63890714124778,125.42586736624634,NOR
3,219.24820695804368,223.5674079283502,OCO
4,264.13890248804233,262.3326993777778,NOR
5,287.14950534253967,289.82516832107746,OCO
6,300.0305273703156,303.93775914741553,OCO
7,276.69231821027074,265.82397319885814,NOR
8,173.23310789082825,170.42790692616717,NOR
9,241.1883994259321,237.6167941783793,NOR
10,274.3091077851429,272.88802802045535,NOR
11,273.7088215051543,258.7957836840176,NOR
12,220.78412440071773,202.5451364101697,NOR
13,132.71382018717725,120.95809875285113,NOR
14,126.5498895607444,121.97359717340927,NOR
15,168.71691884813393,161.72157087540361,NOR
16,126.16280757651872,125.11827876559745,NOR
17,234.4353022576441,226.4452920383576,NOR
18,179.58409553627777,161.43264885686247,NOR
19,161.09130422179894,162.69700900908228,OCO
20,248.94252452562193,246.2792818785185,NOR
21,276.4327765900187,279.3259140199376,OCO
22,291.19774010753247,299.91730936076186,OCO
23,299.9904433038184,320.57857119307357,OCO
24,302.6290102320921,326.01749359794377,OCO
25,304.0,,NOR
