Minisector,SAI,MAG,Fastest
0,291.392916003013,293.5486719873836,MAG
1,299.0873096247042,303.1865474342857,MAG
2,278.5690363120181,278.48645626755473,SAI
3,105.3680632800944,103.97092355702395,SAI
4,221.16313132986124,220.41636084666666,SAI
5,271.419590461244,271.58587961984136,MAG
6,203.14144887194342,210.99164856047,MAG
7,162.69272714047793,153.0938099180124,SAI
8,210.0443902373757,214.14388550860147,MAG
9,223.85535425008484,210.11383316859818,SAI
10,115.31720043379467,108.92231400141804,SAI
11,227.66903997478406,228.12645323652347,MAG
12,120.3104995037242,117.7898784040635,SAI
13,216.14306076807725,221.28413678844854,MAG
14,275.164118980279,276.8444650679596,MAG
15,215.24980251143595,208.26839637151926,SAI
16,189.14195984728923,181.9707526289705,SAI
17,251.90555586287678,248.37609903379186,SAI
18,203.72559896194429,197.82854096928835,SAI
19,170.21049595353875,172.97935068021164,MAG
20,261.49005563233237,259.7936647328423,SAI
21,285.91242507106494,289.5221531689697,MAG
22,170.27872908197511,168.5602011698475,SAI
23,207.08523318659698,208.82287987411138,MAG
24,269.9920711580806,271.3874955630623,MAG
