Minisector,HAM,PER,Fastest
0,284.43190435809527,287.9746965985351,PER
1,286.6719298245614,293.467695421188,PER
2,173.94388992774083,169.07327114761904,HAM
3,221.28583737436367,220.25610660935158,HAM
4,269.0158588538273,270.6829971716344,PER
5,287.07675413333334,291.78981481481486,PER
6,285.83997499348374,300.40661586715436,PER
7,185.53208320035077,177.96471804675244,HAM
8,124.02707968139033,121.2964043773711,HAM
9,244.77787377909976,246.77467532467534,PER
10,277.47703418713,282.90671323123456,PER
11,282.0217105403509,293.22112787468575,PER
12,157.91879608790953,153.75059774291972,HAM
13,190.70285999685498,188.49470554094174,HAM
14,250.3551964074518,254.97021311518233,PER
15,212.65466679466667,209.43703571171199,HAM
16,219.80863114611574,218.82222222222222,HAM
17,222.77554379130433,216.79083810463482,HAM
18,240.66108577264234,243.76742395151516,PER
19,272.66228287857473,275.27085881276565,PER
20,285.5491227508772,289.88916656000004,PER
21,266.5488154452002,265.04729168,HAM
22,232.35018137971016,225.78464470579252,HAM
23,203.24230756923077,206.72618817891427,PER
24,259.5032353106201,263.1216268698413,PER
25,276.0375008,,HAM
