Minisector,RUS,ALO,Fastest
0,272.67529010766486,275.1022994048707,ALO
1,126.14737439396015,114.45186603997855,RUS
2,154.24439088696144,148.6242717217094,RUS
3,213.75161158767506,204.77714040543367,RUS
4,161.76925205918175,158.94333185907072,RUS
5,237.26009508398474,237.10043335928222,RUS
6,216.35754374407958,222.0935771539394,ALO
7,133.58999688338832,128.81035422373685,RUS
8,227.43218473052613,224.12799862615876,RUS
9,267.92465180921886,274.3071709859521,ALO
10,271.89872256962406,281.58135682675135,ALO
11,146.51573581280454,142.80686637568613,RUS
12,215.45655460193623,210.723285482449,RUS
13,262.07068249200046,262.0258548619549,RUS
14,249.48224095999998,258.7427513742222,ALO
15,100.00053924350522,99.58452859855453,RUS
16,217.02567462466743,206.03860413018631,RUS
17,264.1532118632869,268.0463601231746,ALO
18,286.71536685950736,297.1374487229132,ALO
19,297.20960233965593,314.6556207465677,ALO
20,304.1276353502075,323.6587410461538,ALO
21,287.44720502235305,289.90224029433585,ALO
22,149.98030623806898,140.5199189779221,RUS
23,231.85918757239764,229.16987351198878,RUS
24,272.3194382596752,279.5533934467879,ALO
