Minisector,SAI,HUL,Fastest
0,268.49268168048485,270.11302062459697,HUL
1,241.84990313797545,237.4099571052819,SAI
2,118.8664566713468,117.13848749696673,SAI
3,176.07132691707935,176.3263434905888,HUL
4,181.39913033517627,191.1060717077334,HUL
5,203.2720763205861,197.56824590241035,SAI
6,263.85183017311897,266.7366890642784,HUL
7,285.51367885714285,288.95757464250573,HUL
8,237.52738806636302,234.98085878817508,SAI
9,148.17898992538386,145.20990321470398,SAI
10,116.01451793755844,116.247471545114,HUL
11,152.6184172519139,153.2074356772945,HUL
12,240.269919,243.26238844351118,HUL
13,153.8927370199292,151.7085792707159,SAI
14,147.48171398700518,141.54241275631801,SAI
15,113.86302260546083,107.05476964768182,SAI
16,212.70539275905404,218.7726863107856,HUL
17,231.86127622106727,237.5982090984039,HUL
18,124.30829211608682,124.74346722476191,HUL
19,237.0611178503328,239.15766647574898,HUL
20,272.3289713974938,277.3289077248164,HUL
21,198.6397112261647,194.28450668867043,SAI
22,153.9744517902007,150.2751112332215,SAI
23,212.08685973117707,214.51714815478084,HUL
24,227.81650232975426,224.0448421402908,SAI
25,255.0687488,,SAI
