Minisector,BOT,LEC,Fastest
0,310.2617119890284,319.78916671999997,LEC
1,239.06388806464645,244.15795351919192,LEC
2,131.43012905584038,128.2138856906404,BOT
3,239.39502618108074,238.77727237171717,BOT
4,186.1225261000414,182.87930917806563,BOT
5,245.4231025498819,246.51595982857143,LEC
6,227.1004896362007,228.06729793939394,LEC
7,256.66599497634405,257.7180085356343,LEC
8,293.43427445144323,293.10977583589744,BOT
9,205.3479159338346,200.27235859743138,BOT
10,205.6702754978918,205.47721606349205,BOT
11,274.8185163047619,275.17605448723924,LEC
12,211.31703261983918,204.79051007962448,BOT
13,251.5402247973153,245.85080695053765,BOT
14,294.134833069545,290.2325472879834,BOT
15,311.4759647751608,313.99307757500907,LEC
16,314.5069789740865,320.7894096888889,LEC
17,225.83733500656157,230.16400715626418,LEC
18,269.9005509939607,271.38074732873565,LEC
19,304.20316680533335,305.4101189259822,LEC
20,320.7797010692461,324.9722223111111,LEC
21,318.41173092698415,327.80158330946097,LEC
22,148.62140827733896,144.64931732776841,BOT
23,237.83638927493627,233.7228612095238,BOT
24,299.246723102188,301.2411786592074,LEC
25,313.6166666666667,,BOT
