Minisector,STR,HAM,Fastest
0,266.8559150733933,270.0933269329132,HAM
1,272.019241131815,239.02788307712834,STR
2,120.28488105321112,106.29033336860978,STR
3,156.61826797332458,166.4768234002797,HAM
4,184.02030899112268,163.72167974356262,STR
5,195.30095716443273,208.20155856081308,HAM
6,265.8375747777602,272.3539572598035,HAM
7,285.21492610331893,286.0113419577705,HAM
8,182.32439053496597,166.8674193980133,STR
9,127.96322097005559,119.4169187108202,STR
10,120.29363177008678,130.19739608957826,HAM
11,176.27327106573543,197.20862521989417,HAM
12,218.35895092708995,180.3198743881697,STR
13,127.08748680301032,128.90374236147494,HAM
14,150.57396486341125,120.49632168958678,STR
15,113.81823731838385,129.0356513808498,HAM
16,245.04139294217606,255.77377188266664,HAM
17,153.09933933571762,128.39054242047027,STR
18,183.35999274561578,198.6240110644898,HAM
19,127.98710985647703,112.29591024626203,STR
20,127.58969189990934,120.41857879345423,STR
21,116.77419586777839,116.73829395619677,STR
22,131.3907031528713,155.07966715851936,HAM
23,212.31033883619048,207.19885989693935,STR
24,220.1286063760452,235.4165114722908,HAM
