Minisector,BOT,VER,Fastest
0,233.14918018713226,230.05844869760588,BOT
1,283.1293081478594,280.81433118730126,BOT
2,297.5310471330797,295.1485611257338,BOT
3,303.9537734242782,302.5526319855434,BOT
4,277.05489682150323,281.38461688669986,VER
5,170.37741334546902,168.8249777829117,BOT
6,262.46356064247203,259.49926625865214,BOT
7,280.4036182231495,274.5019577176069,BOT
8,220.18166565802622,215.85746119688815,BOT
9,224.8334964976547,218.4634987903059,BOT
10,186.81019733108496,190.15005857363434,VER
11,225.73216994638898,222.72402468838644,BOT
12,208.88529929230643,210.30396244714197,VER
13,214.56622062186923,218.48013139947972,VER
14,223.34622220988842,220.84405464462816,BOT
15,185.1816285090382,183.5741058205472,BOT
16,246.56233669207074,241.98674495014075,BOT
17,285.3196452390194,281.2701019307144,BOT
18,298.9506000642423,294.98523465592274,BOT
19,288.33242956704845,291.0210413682219,VER
20,132.38357508598634,136.74952187505414,VER
21,164.17330400981433,167.2467310976802,VER
22,156.14016241948508,147.84168700934345,BOT
23,209.88859685540305,206.43986430878894,BOT
24,149.93534862302045,149.45338675740663,BOT
25,188.38750293333334,182.0333312,BOT
