Minisector,LEC,HAM,Fastest
0,174.13065922633746,133.63176611651653,LEC
1,208.27132488246139,151.8365433744297,LEC
2,220.04261735619045,209.60978955802773,LEC
3,152.8195398988506,239.09662786031745,HAM
4,113.2582703769038,266.0784488533333,HAM
5,152.60328945745007,277.01461426666253,HAM
6,189.48749973333335,302.1884622769231,HAM
7,158.9964882162578,310.89433635,HAM
8,158.50577786311112,317.9890818089796,HAM
9,150.27046196520635,320.67269238153847,HAM
10,170.0480664612419,320.31937488,HAM
11,213.31408583797153,319.1510079311828,HAM
12,226.61229290666665,256.78791583940244,HAM
13,253.84244989273185,177.61244120177776,LEC
14,226.5192701939394,97.82847659301586,LEC
15,215.13758485767704,97.22938926009704,LEC
16,222.0,143.76857840991295,LEC
17,257.0022147047619,183.49972883478262,LEC
18,277.18609716771925,213.53779348266667,LEC
19,274.33402305185183,236.5651188389761,LEC
20,164.72102781184768,217.42857142857142,HAM
21,112.16277634969225,161.10034005762824,HAM
22,146.93743223466666,125.76578550857144,LEC
23,202.56182184347827,131.973145125,LEC
24,142.55467689180063,172.41059359518349,HAM
25,115.75999232,214.36715328241874,HAM
26,,240.01625024,HAM
