Minisector,HAM,GAS,Fastest
0,265.17846689163656,263.3496121612694,HAM
1,256.71790133909343,250.19352138271606,HAM
2,169.76030167102442,167.52314161549512,HAM
3,249.40130895238096,247.2221110574956,HAM
4,271.4309178759141,271.2820709080006,HAM
5,197.524891625592,192.84210762950008,HAM
6,124.51416348486546,122.89426025643444,HAM
7,161.8009939213485,158.2739491392514,HAM
8,258.4421468717949,258.3308317866667,HAM
9,184.01396337152946,188.69858593467544,GAS
10,182.75535561142857,178.3862175748169,HAM
11,257.3726946818143,255.7744332750793,HAM
12,246.26064568498168,248.36323008167125,GAS
13,259.46821018147836,253.25442187541805,HAM
14,283.48297062028985,282.12210054492755,HAM
15,289.04058897444503,291.1294717231189,GAS
16,145.93813148212482,148.10223530251722,GAS
17,232.08085380823763,232.6224425690994,GAS
18,284.24466814409936,279.61192857777775,HAM
19,302.68278970434784,293.4195074909091,HAM
20,309.1244613151927,296.81182730612187,HAM
21,315.0817459301587,298.82348494545454,HAM
22,144.07315961347598,173.90154896692067,GAS
23,85.74999404226485,90.2049736099152,GAS
24,172.32305806262926,161.57232492727093,HAM
25,243.81250133333333,242.92360888888888,HAM
