Minisector,HAM,GAS,Fastest
0,278.3003276530027,276.08405090309645,HAM
1,153.40514383382182,154.34636375853756,GAS
2,143.9576728886516,140.48540533699816,HAM
3,224.47766894100582,223.65626130942468,HAM
4,278.3307280295731,281.29335347936507,GAS
5,277.652794531174,283.97458951064937,GAS
6,140.18624247954818,142.44176233651694,GAS
7,142.48602093958146,135.85639024639218,HAM
8,136.993057932143,134.43908673029392,HAM
9,188.82636964486773,184.4110791805221,HAM
10,127.70948490845609,123.11782017474972,HAM
11,119.31969041196854,118.38404129283073,HAM
12,170.33062227277438,161.35627195314729,HAM
13,264.4480412312534,264.0971630931803,HAM
14,282.9460886817738,286.16655565155554,GAS
15,147.62198755477812,145.53199528083576,HAM
16,202.60134898031748,199.25861815534392,HAM
17,174.99202713491968,166.91387155397683,HAM
18,267.84736152540785,266.0378071990748,HAM
19,288.9819136514533,289.4293497594753,GAS
20,300.8903206836017,303.2552875838816,GAS
21,308.94150971273984,310.7366541172932,GAS
22,312.02751324444444,313.443287275353,GAS
23,314.0391086277879,316.21647728484845,GAS
24,309.95197451130434,314.12677936114187,GAS
25,,309.27499977142855,GAS
