Minisector,LEC,BOT,Fastest
0,292.5442163636124,301.85911426666667,BOT
1,298.0889365715343,303.39831106091253,BOT
2,162.69078384354734,160.62720950673244,LEC
3,228.7546132125087,228.10379166954093,LEC
4,279.05564914918085,276.60577997594606,LEC
5,296.76982428632317,295.03041555861773,LEC
6,301.4227902352217,297.8648774173464,LEC
7,160.44243280763257,140.26513491859683,LEC
8,139.24708002465007,147.8006247649109,BOT
9,254.7295104753124,252.34709222539166,LEC
10,287.6587610382837,284.57046522316904,LEC
11,297.47136819345155,284.9763205665225,LEC
12,146.0535286149709,139.76773977050897,LEC
13,198.2012457498913,207.6085547134111,BOT
14,261.22741967284213,255.88145768158842,LEC
15,203.59981089553804,197.7217375027176,LEC
16,227.32599785569613,223.4209995109671,LEC
17,214.98188166153096,213.05467913753637,LEC
18,247.57799286184138,250.01821767303682,BOT
19,279.9825142190376,279.5386533115034,LEC
20,296.48388895492064,289.2566837035101,LEC
21,261.52117332597726,249.37471995314556,LEC
22,227.14937961731727,214.15198429220501,LEC
23,205.0517521907565,219.99746898342025,BOT
24,267.64491265392087,268.60242645300355,BOT
