Minisector,OCO,ALB,Fastest
0,282.9825493127075,280.36271278058507,OCO
1,296.8206221256288,289.285073032,OCO
2,242.3905591619051,234.25687113338216,OCO
3,115.88446031822549,110.68627648140898,OCO
4,137.26473043677808,137.707009032867,ALB
5,253.14878305273206,254.01079316772731,ALB
6,272.19514932987016,250.60880025565663,OCO
7,123.43808883670899,125.62691212475,ALB
8,247.64973953174092,247.46209049292085,OCO
9,266.0412464397187,256.4540524899379,OCO
10,203.9271792105149,211.06407270697778,ALB
11,141.28026134980448,141.56193629568716,ALB
12,206.66704779059583,212.48272784159678,ALB
13,267.92785591618804,262.9766290951529,OCO
14,121.18968753197696,117.66174290674716,OCO
15,194.77406246597107,201.18070766860794,ALB
16,263.68611773859254,263.42762106569916,OCO
17,291.78575502614717,293.5268664598775,ALB
18,304.91328750193776,305.5917292671679,ALB
19,310.9573214780952,312.2674947132773,ALB
20,311.80527204716554,314.16203707259257,ALB
21,170.35259530900152,142.55857718789028,OCO
22,144.85805581391293,167.26244295179487,ALB
23,204.57344269502343,196.61983790065528,OCO
24,238.77208922980822,243.91318528311686,ALB
