Minisector,BOT,VET,Fastest
0,294.3113880096323,296.180980738322,VET
1,313.48004395789474,313.9049907697198,VET
2,309.9727608231948,314.5783333333333,VET
3,181.84126799375366,183.0988923954772,VET
4,225.85193052232702,224.7142551892552,BOT
5,207.61240642180513,210.21932519232917,VET
6,191.53593713310926,190.95118464099286,BOT
7,216.44678134012648,219.2111225064618,VET
8,260.1329391432434,264.1410625222431,VET
9,258.12276183347655,265.7911491246377,VET
10,173.03516568152438,178.90487977754182,VET
11,243.18401292227267,241.89676390212986,BOT
12,116.96898852534514,122.87131930808614,VET
13,232.29307392042494,227.81700422773127,BOT
14,280.60284101818183,279.24590784255645,BOT
15,283.3627148066416,292.4073696145125,VET
16,202.80831247553365,219.23083052865059,VET
17,185.3456174401494,183.90100795476516,BOT
18,273.8160457606625,272.97969501260917,BOT
19,301.5174804837571,300.58390022675735,BOT
20,314.80630952380955,312.5266910723505,BOT
21,310.97184508190475,313.7268170426065,VET
22,262.7469549938087,296.56439393939394,VET
23,118.83280271890143,116.9351413735849,BOT
24,248.22396413833212,238.1891084228691,BOT
25,279.0500032,280.1958330666667,VET
